qid,P236,P7363,Lpt,P17,P8608
,2317-1707,2317-1707,Proceedings of World Congress on Communication and Arts,Q155,container_zr65vkscizclbbphpwk4wpifn4
,2175-6309,2175-5124,Pos,Q155,container_z5pfnzpz2ngdnaxyspbfwiq26q
,2238-3026,2238-3026,Abehache,Q155,container_yxcfv4ydpzcidajjs6rln6f4fa
,1984-8226,1518-6113,Revista Fronteiras,Q155,container_ypdwlatqirfg5i3nsdekxid37y
,2318-1494,2318-1494,Acadêmico Mundo,Q155,container_yoq5tk2yure7zo3c5vfejmmu6y
,2318-0935,2236-6202,Anais do Seminário Interdisciplinar PIBID/UNIFRA,Q155,container_ykcwdazqbvehxlufwzbj57on4y
,2178-3764,0102-5716,Veterinária e Zootecnia,Q155,container_ycdrt52zk5h5pnrtpnx7kgabqi
,2318-7069,2318-7069,Revista de Ciências da Amazôni,Q155,container_y3si4xc365cnfcle7amo5quaba
,2179-734X,2179-734X,Registro Contábi,Q155,container_xzj3pyo6jnc2ri2hnut2fdb55m
,2318-1788,1980-7732,Letras em Revista,Q155,container_xxfyjb2pmzdulllg6aa3ijndji
,1517-3801,1517-3801,Datagramazer,Q155,container_xqpya7247fc4jilxajt7bmtsoi
,2179-2321,2179-2321,Brazilian Geographical Journal,Q155,container_xpip4xd5rrdltnh5uo56qp5rz4
,2318-2024,2318-2024,Anais Seminário Discente do Programa de Pós-Graduação em Ciência Política,Q155,container_xlur5p6w2rawveb524nel4l6ay
,2318-2156,2318-2156,Pluralidad,Q155,container_wyi4qqhagrf35bdu4bkhe23gvm
,2318-0986,2318-0986,Anais Congresso da Associação Brasileira de Estudos do Quaternário,Q155,container_vqe5ily7qjdjllggby4osk73ra
,2318-1044,2318-1044,Revista Científica CENSUPEG,Q155,container_vlyqwbzmxvftnhv643apybxcxe
,2317-4382,2317-4382,Proceedings of International Conference on Engineering and Technology Education,Q155,container_vhd2hgigq5g3rf5fdtgpa4qpa4
,1809-3264,1809-3264,Revista Querubim,Q155,container_vea67hyerrel7pq3s3fpk7bpue
,2675-519X,2675-519X,Práticas Educativas, Memórias e Oralidade,Q155,container_v6hiyxwq6fgipknn52emdgdyiu
,1980-7031,1980-7031,RIC@. Revista interdisciplinar científica aplicada,Q155,container_v2pyzqtewjc25p3pqqljrruyrm
,2318-3160,2318-3160,Poliética,Q155,container_uwm6owewdbh2bdr6fonslirg44
,2237-3373,2237-3373,Revista Intercontinental de Gestão Desportiva,Q155,container_ujknyqoqwjcddjkptt6ph3bh54
,2317-9104,2317-9104,Cadernos de Trabalho NETSAL,Q155,container_ui3nntaevfav5egoxmfu6tr3su
,1679-432X,1679-4311,Winnicott e-prints(Online,Q155,container_tx3zjymoqvarpm7but3mcuzm5u
,2317-4854,2176-0683,Revista da ANPG,Q155,container_top7apwmzrdqldjfog5vlu66na
,2237-1443,2237-1443,Revista Noctua,Q155,container_swfx75nr4nhobcre5gs26w57vi
